업체명,대표자,이메일,수신동의,신청일시
봄날카페,김봄,bom@example.com,동의,2026-07-20 09:12:00
한빛디자인,이하늘,haneul@example.com,동의,2026-07-20 10:41:00
온누리식품,박온유,onyu@example.com,동의,2026-07-21 11:05:00
다온스튜디오,최다온,daon@example.com,동의,2026-07-21 15:33:00
새길컴퍼니,정새길,saegil@example.com,동의,2026-07-22 08:57:00
중복상사,강중복,duplicate@example.com,동의,2026-07-22 13:20:00
중복상사 2호점,강중복,duplicate@example.com,동의,2026-07-23 09:44:00
오류테스트,오형식,wrong-email,동의,2026-07-23 16:02:00
메일누락상점,나누락,missing@,동의,2026-07-24 10:18:00
  공백테스트  ,  윤공백  ,space@example.com,동의,2026-07-24 14:50:00
<b>안전테스트</b>,<script>alert('demo')</script>,sanitize@example.com,동의,2026-07-25 09:05:00
이미발송상점,송완료,sent@example.com,동의,2026-07-25 11:37:00
